Si/Al,Al/P,Si/Ge,Si/B,Na/T,K/T,OH/T,F/T,H2O/T,sda1/T,cryst_temp,cryst_time,zeo,osda,Al/Si,Al,Si,Ge/Si,Ge,B/Si,B,Na,Na/Si,K,K/Si,OH,OH/Si,F,F/Si,H2O,H2O/Si,sda1,sda1/Si
400.0,0.0,99.0,250.0,0.0,0.0,0.0,0.75000006,7.25,0.5,175.0,336.0,NON,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7500000596046448,0.7500000596046448,7.25,7.25,0.5,0.5
400.0,0.0,99.0,250.0,0.0,0.0,0.0,1.0,7.25,0.5,175.0,336.0,Dense/Amorphous,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.25,7.25,0.5,0.5
400.0,0.0,99.0,250.0,0.0,0.25000027,0.0,0.5,7.25,0.5,175.0,336.0,Dense/Amorphous,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500002682209015,0.2500002682209015,0.0,0.0,0.5,0.5,7.25,7.25,0.5,0.5
400.0,0.0,99.0,250.0,0.0,0.25000027,0.0,0.75000006,7.25,0.5,175.0,336.0,BEA,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500002682209015,0.2500002682209015,0.0,0.0,0.7500000596046448,0.7500000596046448,7.25,7.25,0.5,0.5
400.0,0.0,99.0,250.0,0.0,0.25000027,0.0,1.0,7.25,0.5,175.0,336.0,Dense/Amorphous,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500002682209015,0.2500002682209015,0.0,0.0,1.0,1.0,7.25,7.25,0.5,0.5
400.0,0.0,99.0,250.0,0.0,0.0,0.0,0.5,15.0,0.5,175.0,336.0,Dense/Amorphous,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,15.0,15.0,0.5,0.5
400.0,0.0,99.0,250.0,0.0,0.0,0.0,0.75000006,15.0,0.5,175.0,336.0,Dense/Amorphous,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7500000596046448,0.7500000596046448,15.0,15.0,0.5,0.5
400.0,0.0,99.0,250.0,0.0,0.0,0.0,1.0,15.0,0.5,175.0,336.0,Dense/Amorphous,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,15.0,0.5,0.5
400.0,0.0,99.0,250.0,0.0,0.25000027,0.0,0.5,15.0,0.5,175.0,336.0,Dense/Amorphous,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500002682209015,0.2500002682209015,0.0,0.0,0.5,0.5,15.0,15.0,0.5,0.5
400.0,0.0,99.0,250.0,0.0,0.25000027,0.0,0.75000006,15.0,0.5,175.0,336.0,Dense/Amorphous,C[N+]1(C)CC2C3C=CC(CC3)C2C1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2500002682209015,0.2500002682209015,0.0,0.0,0.7500000596046448,0.7500000596046448,15.0,15.0,0.5,0.5
